"period","age","industry","u_m","u_w","s_m","s_w","composition","within","total_contrib"
"Pre-COVID (2017-2019)","15 to 24 years","Utilities",0,0,0.000509680629203247,8.05193259703541e-05,0,0,0
"Pre-COVID (2017-2019)","15 to 24 years","Finance, insurance, real estate, rental and leasing",3.22603366908502,2.84519872714794,0.00375113317407905,0.00474442366664289,-0.00301524870866186,0.00161770244807975,-0.00139754626058211
"Pre-COVID (2017-2019)","55 years and over","Other services (except public administration)",2.38969549742952,2.49566033977405,0.00935392101350614,0.0104026824776625,-0.00256178647037534,-0.00104675268710253,-0.00360853915747787
"Pre-COVID (2017-2019)","55 years and over","Public administration",2.44924617645458,2.64927073837739,0.00970903286713453,0.0103917294811151,-0.00174037011703925,-0.0020103230915116,-0.00375069320855085
"Pre-COVID (2017-2019)","25 to 54 years","Public administration",1.51576069475716,1.38637041797691,0.0328584152657936,0.0386910162634237,-0.00846348641169311,0.0046289003745174,-0.00383458603717571
"Pre-COVID (2017-2019)","15 to 24 years","Other services (except public administration)",6.88630020628564,6.46747145900475,0.00435487616927315,0.00541936507551203,-0.00710747089707434,0.00204686660808731,-0.00506060428898704
"Pre-COVID (2017-2019)","15 to 24 years","Wholesale and retail trade",6.3202523381394,5.37048635893552,0.0335905692437729,0.0406462741606082,-0.0412432012531941,0.0352538141344837,-0.00598938711871044
"Pre-COVID (2017-2019)","25 to 54 years","Other services (except public administration)",3.3462997414772,2.68561792339195,0.0218716138539069,0.0307201950462261,-0.0266869566014896,0.017373225960266,-0.00931373064122367
"Pre-COVID (2017-2019)","55 years and over","Finance, insurance, real estate, rental and leasing",1.31764404390723,1.71761678234423,0.0123723717693475,0.015183813484086,-0.00426672945101762,-0.00551086143834645,-0.00977759088936407
"Pre-COVID (2017-2019)","25 to 54 years","Wholesale and retail trade",3.1572624898977,3.44056218764322,0.0840212084213297,0.0813855007784028,0.00869496846464291,-0.0234298353606824,-0.0147348668960395
"Pre-COVID (2017-2019)","55 years and over","Accommodation and food services",6.15440475650161,5.61414688545484,0.00582156210639458,0.00929080531463075,-0.020413983927317,0.0040822877246799,-0.0163316962026371
"Pre-COVID (2017-2019)","25 to 54 years","Finance, insurance, real estate, rental and leasing",1.92177971118239,1.95888262269957,0.0383864288086605,0.049446562846074,-0.0214603227833382,-0.00162942985882741,-0.0230897526421656
"Pre-COVID (2017-2019)","15 to 24 years","Educational services",6.74636465324385,6.2586926286509,0.00377940472790215,0.00808804788294858,-0.0280170755193113,0.00289371232074719,-0.0251233631985641
"Pre-COVID (2017-2019)","15 to 24 years","Health care and social assistance",4.67253925698966,2.63336041158949,0.00275951502923728,0.0174916394593246,-0.0538157114956208,0.020647862914003,-0.0331678485816178
"Pre-COVID (2017-2019)","15 to 24 years","Accommodation and food services",7.01962552504806,6.02492395250711,0.0222679440476886,0.0331849152963333,-0.0712034857989969,0.0275795231956951,-0.0436239626033018
"Pre-COVID (2017-2019)","55 years and over","Educational services",2.42673348160243,3.60492469373415,0.00938536320887949,0.0193796992425559,-0.0301412093222926,-0.0169453718983506,-0.0470865812206433
"Pre-COVID (2017-2019)","25 to 54 years","Accommodation and food services",5.1806932216955,5.3953503753431,0.0257503653503836,0.0358062337943756,-0.0531756515348716,-0.00660678218032016,-0.0597824337151918
"Pre-COVID (2017-2019)","55 years and over","Health care and social assistance",0.831962851891264,1.6757456080621,0.0109249739016567,0.0434745154853169,-0.0408123803984742,-0.0229506755446134,-0.0637630559430876
"Pre-COVID (2017-2019)","25 to 54 years","Educational services",3.14931127303562,3.40257311503878,0.0267969412820965,0.0709144360790522,-0.144526362700564,-0.012373281707575,-0.156899644408139
"Pre-COVID (2017-2019)","25 to 54 years","Health care and social assistance",1.67138268931571,1.49390958069806,0.0290401701789008,0.151648677603283,-0.194045880394161,0.0160337057542229,-0.178012174639938
"Pre-COVID (2017-2019)","25 to 54 years","Unclassified industries",100,100,0.00976901083646016,0.0132090178092764,-0.34400069728162,0,-0.34400069728162
